home_team,away_team,division,corners_line,expected_corners,p_over,p_under,p_push,book_over,book_under,fair_over,fair_under,EV_over_per_$,EV_under_per_$,kelly_over,kelly_under,stake_over,stake_under,take_side,no_bet_reason,breakeven_over,breakeven_under,edge_over_pct,edge_under_pct,exact_total,book_exact,p_exact,fair_exact,EV_exact_per_$,kelly_exact,stake_final
Aston Villa,Fulham,E0,10.0,10.048,0.4204,0.4599,0.1165,2.1,2.1,2.379,2.174,0.0025,0.0855,0.0,0.0222,0.0,1.11,under,,0.4207,0.4207,-0.03,3.92,10.0,8.0,0.1165,8.581,-0.0677,0.0,1.11
Newcastle,Arsenal,E0,10.0,9.782,0.3914,0.4908,0.1154,2.1,2.0,2.555,2.037,-0.0603,0.0994,0.0,0.0286,0.0,1.43,under,,0.4212,0.4423,-2.98,4.85,10.0,8.0,0.1154,8.666,-0.0768,0.0,1.43
Everton,West Ham,E0,10.0,10.192,0.4334,0.4455,0.1176,2.2,2.0,2.307,2.245,0.0746,0.0121,0.0178,0.0,0.89,0.0,over,,0.4011,0.4412,3.23,0.43,10.0,8.0,0.1176,8.503,-0.0592,0.0,0.89
Rayo Vallecano,Sevilla,SP1,9.0,9.622,0.4878,0.3896,0.1207,1.9090909090909092,2.375,2.05,2.567,0.0538,0.0479,0.0,0.0,0.0,0.0,no_bet,Edge<threshold,0.4606,0.3702,2.72,1.94,9.0,7.5,0.1207,8.288,-0.0951,0.0,0.0
Elche,Celta Vigo,SP1,9.0,9.643,0.4949,0.3843,0.1187,2.2,2.0,2.021,2.602,0.2095,-0.1105,0.0502,0.0,2.51,0.0,over,,0.4006,0.4406,9.43,-5.63,9.0,7.5,0.1187,8.424,-0.1096,0.0,2.51
Barcelona,Real Sociedad,SP1,10.0,9.665,0.3784,0.5039,0.1156,1.8333333333333335,2.375,2.643,1.985,-0.1885,0.3144,0.0,0.0656,0.0,3.28,under,,0.4824,0.3724,-10.4,13.15,10.0,8.5,0.1156,8.651,-0.0174,0.0,3.28
Real Betis,Osasuna,SP1,9.0,9.51,0.4707,0.4012,0.1267,1.9090909090909092,2.375,2.124,2.493,0.0268,0.0809,0.0,0.0168,0.0,0.84,under,,0.4574,0.3677,1.33,3.35,9.0,7.5,0.1267,7.892,-0.0496,0.0,0.84
Valencia,Real Oviedo,SP1,11.0,9.859,0.2892,0.6049,0.1039,2.2,1.9090909090909092,3.458,1.653,-0.2578,0.2607,0.0,0.0818,0.0,4.09,under,,0.4073,0.4694,-11.81,13.55,11.0,8.5,0.1039,9.626,-0.117,0.0,4.090000000000001
Sassuolo,Udinese,I1,10.0,10.467,0.4713,0.4113,0.1149,2.25,1.9090909090909092,2.122,2.431,0.1778,-0.0973,0.0408,0.0,2.04,0.0,over,,0.3934,0.4636,7.79,-5.23,10.0,8.0,0.1149,8.704,-0.0809,0.0,2.04
Pisa,Fiorentina,I1,9.0,9.552,0.4775,0.3966,0.1237,2.5,1.8333333333333335,2.094,2.522,0.3197,-0.1471,0.0612,0.0,3.06,0.0,over,,0.3505,0.478,12.7,-8.14,9.0,7.5,0.1237,8.085,-0.0724,0.0,3.06
Roma,Verona,I1,9.0,10.22,0.5536,0.3249,0.1175,2.1,2.1,1.806,3.078,0.284,-0.1962,0.074,0.0,3.7,0.0,over,,0.4202,0.4202,13.34,-9.53,9.0,7.5,0.1175,8.508,-0.1184,0.0,3.7
Lecce,Bologna,I1,9.0,10.007,0.5279,0.3516,0.1175,2.1,2.1,1.894,2.844,0.229,-0.1411,0.0598,0.0,2.99,0.0,over,,0.4202,0.4202,10.76,-6.86,9.0,7.5,0.1175,8.512,-0.1189,0.0,2.99
AC Milan,Napoli,I1,9.0,9.524,0.4765,0.3998,0.1221,1.9090909090909092,2.25,2.099,2.501,0.0334,0.0232,0.0,0.0,0.0,0.0,no_bet,Edge<threshold,0.4598,0.3902,1.67,0.96,9.0,7.5,0.1221,8.189,-0.0841,0.0,0.0
Parma,Torino,I1,9.0,9.718,0.5005,0.3773,0.1201,1.9090909090909092,2.375,1.998,2.651,0.0777,0.0183,0.0246,0.0,1.23,0.0,over,,0.4609,0.3705,3.96,0.68,9.0,7.5,0.1201,8.329,-0.0996,0.0,1.23
Genoa,Lazio,I1,9.0,9.736,0.5045,0.3734,0.1199,1.9090909090909092,2.375,1.982,2.678,0.0852,0.0089,0.0268,0.0,1.34,0.0,over,,0.461,0.3706,4.35,0.29,9.0,7.5,0.1199,8.339,-0.1006,0.0,1.34
SC Freiburg,TSG Hoffenheim,D1,9.0,9.505,0.4781,0.3976,0.122,1.8333333333333335,2.375,2.092,2.515,0.0008,0.0686,0.0,0.0,0.0,0.0,no_bet,Edge<threshold,0.4789,0.3697,-0.08,2.79,9.0,8.0,0.122,8.195,-0.0238,0.0,0.0
Cologne,VfB Stuttgart,D1,10.0,9.505,0.3598,0.5196,0.1183,1.9090909090909092,2.25,2.779,1.924,-0.1925,0.2897,0.0,0.0664,0.0,3.32,under,,0.4619,0.3919,-10.2,12.77,10.0,8.0,0.1183,8.456,-0.0539,0.0,3.32
Union Berlin,Hamburg,D1,10.0,9.765,0.3865,0.4934,0.1177,2.1,2.0,2.587,2.027,-0.0683,0.1069,0.0,0.0306,0.0,1.53,under,,0.4202,0.4412,-3.37,5.22,10.0,8.0,0.1177,8.499,-0.0587,0.0,1.53
Nice,Paris FC,F1,9.0,9.618,0.4822,0.39,0.126,1.9090909090909092,2.375,2.074,2.564,0.0484,0.054,0.0,0.0,0.0,0.0,no_bet,Edge<threshold,0.4578,0.368,2.44,2.2,9.0,7.5,0.126,7.937,-0.055,0.0,0.0
Angers,Brest,F1,9.0,9.641,0.4881,0.3885,0.1212,2.2,2.1,2.049,2.574,0.1972,-0.0607,0.0472,0.0,2.36,0.0,over,,0.3994,0.4185,8.86,-2.99,9.0,7.5,0.1212,8.249,-0.0908,0.0,2.36
Lille,Lyon,F1,9.0,9.434,0.4623,0.4109,0.1251,1.8333333333333335,2.5,2.163,2.434,-0.0256,0.154,0.0,0.0294,0.0,1.47,under,,0.4772,0.3499,-1.49,6.09,9.0,8.0,0.1251,7.991,0.0011,0.0001,1.47
Metz,Le Havre,F1,9.0,9.547,0.4797,0.3952,0.1228,2.1,2.1,2.084,2.531,0.1325,-0.0451,0.0346,0.0,1.73,0.0,over,,0.4177,0.4177,6.2,-2.25,9.0,7.5,0.1228,8.143,-0.079,0.0,1.73
Rennes,Lens,F1,9.0,9.682,0.4953,0.3817,0.1209,1.9090909090909092,2.25,2.019,2.62,0.0686,-0.0182,0.0216,0.0,1.08,0.0,over,,0.4605,0.3907,3.49,-0.9,9.0,7.5,0.1209,8.268,-0.0929,0.0,1.08
